City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,kursenai,55.985,22.9189,41.25,90,100,7.29,LT,1682482663
163,harper,4.375,-7.7169,78.22,88,100,5.08,LR,1682482663
164,bechem,7.0903,-2.025,72.95,97,100,1.79,GH,1682482663
165,ribeira grande,38.5167,-28.7,62.78,95,100,14.0,PT,1682482663
166,longyearbyen,78.2186,15.6401,19.24,73,0,4.61,SJ,1682482663
167,jackson,42.4165,-122.8345,64.27,46,0,4.61,US,1682482663
168,sallisaw,35.4604,-94.7875,53.28,97,75,8.05,US,1682482663
169,topolobampo,25.6,-109.05,69.71,78,0,2.3,MX,1682482664
170,rio grande,-32.035,-52.0986,66.06,93,100,12.64,BR,1682482401
171,talnakh,69.4865,88.3972,31.21,95,100,3.87,RU,1682482664
172,afaahiti,-17.75,-149.2833,80.47,83,100,11.25,PF,1682482664
173,mariehamn,60.0973,19.9348,39.06,100,100,4.61,AX,1682482664
174,puerto leguizamo,-0.1934,-74.7819,71.13,96,11,1.77,CO,1682482664
175,duragan,41.4158,35.0544,55.9,66,28,1.7,TR,1682482664
176,haiku-pauwela,20.9219,-156.3051,74.17,84,75,11.5,US,1682482664
177,castillos,-34.1667,-53.8333,61.45,96,97,3.71,UY,1682482665
178,vila franca do campo,37.7167,-25.4333,63.01,94,39,8.1,PT,1682482466
179,hami,42.8,93.45,64.0,18,91,6.87,CN,1682482665
180,alofi,-19.0595,-169.9187,78.55,78,79,17.18,NU,1682482538
181,san patricio,28.017,-97.5169,75.15,91,39,12.48,US,1682482665
182,kalanchak,46.2562,33.2907,50.29,69,85,6.35,UA,1682482665
183,vanju-mare,44.4253,22.8697,45.39,80,1,9.62,RO,1682482665
184,bobo-dioulasso,11.1771,-4.2979,81.05,69,0,4.61,BF,1682482666
185,yuzhno-kurilsk,44.0306,145.8556,41.72,91,100,27.09,RU,1682482373
186,portland,45.5234,-122.6762,58.03,64,72,1.99,US,1682482566
187,eirunepe,-6.6603,-69.8736,71.1,99,47,1.28,BR,1682482371
188,keflavik,64.0049,-22.5624,34.23,86,75,9.22,IS,1682482666
189,yoloten,37.2989,62.3597,78.78,19,23,4.43,TM,1682482666
190,chonchi,-42.6128,-73.8092,51.01,97,100,2.04,CL,1682482666
191,mount gambier,-37.8333,140.7667,75.58,41,100,11.18,AU,1682482667
192,al muwayh,22.4333,41.7583,71.8,49,7,6.89,SA,1682482667
193,kahna nau,31.3692,74.3653,84.24,34,61,5.75,PK,1682482667
194,caxito,-8.5785,13.6643,75.16,98,91,2.1,AO,1682482667
195,tual,-5.6667,132.75,83.48,73,98,5.48,ID,1682482667
196,soe,-9.8607,124.284,77.74,69,68,9.1,ID,1682482667
197,broken hill,-31.95,141.4333,76.1,33,100,18.63,AU,1682482668
198,santa cruz,-17.8,-63.1667,67.46,94,75,14.97,BO,1682482668
199,kantunilkin,21.0917,-87.45,74.97,83,95,4.83,MX,1682482668
200,las khorey,11.1595,48.1967,84.76,71,0,2.15,SO,1682482668
201,sandnessjoen,66.0217,12.6316,33.91,73,75,6.91,NO,1682482418
202,maymana,35.9214,64.7836,75.63,24,10,1.39,AF,1682482668
